,AAPL,MSFT,IBM,NVDA,GOOGL,AMZN,EW_Portfolio
Observations,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0
Daily Mean Return,0.0009175649864051517,0.0009153594919135621,0.00033591197035274845,0.0020616231422883905,0.0008055037222195948,0.0008151110309909579,0.000975179057361734
Daily Median Return,0.0009889031368815198,0.0008977519115612356,0.0007074168789157414,0.0024230250911575196,0.00118831940565918,0.0010376243633230735,0.0014929428413467168
Daily Std Deviation,0.017821939979125803,0.01656435368547425,0.015111568812336681,0.0295244940343733,0.017789631731565177,0.02067238134980147,0.01511446003480212
Annualised Mean Return,0.23122637657409822,0.23067059196221765,0.08464981652889261,0.5195290318566744,0.2029869379993379,0.2054079798097214,0.24574512245515698
Annualised Std Deviation,0.28291452639291925,0.2629509628816865,0.23988871798489533,0.4686868127997711,0.2824016488628689,0.3281638803543866,0.2399346147186664
Annualised Sharpe Ratio (Rf=0),0.8173011811099613,0.8772380577515008,0.3528711864399668,1.1084780234229115,0.718788076545212,0.6259311036543687,1.0242170465620546
Skewness,-0.10307593789939673,-0.09492418095668964,-0.477496814731803,0.149200382166838,0.03311798767026548,0.007578015158844009,-0.32769121146936864
Excess Kurtosis,6.592018669143339,8.241498905278716,10.877491389084275,7.373785983720209,5.869878825519004,6.054234438960053,6.334259013638224
Minimum Daily Return,-0.13770812700705798,-0.15945319235818978,-0.13754778201988116,-0.20771151756949485,-0.12368464778355706,-0.15139791287665294,-0.12762651082789842
Maximum Daily Return,0.14261741388461774,0.132929250119259,0.12190043700170734,0.26087621246326614,0.15064526908984702,0.13217782645721562,0.11315129907372161
Q1 (25th percentile),-0.007046010295322499,-0.006717277347422715,-0.006442932192995298,-0.011842355625412667,-0.007722421027688815,-0.008836013493029211,-0.006011303036184525
Q3 (75th percentile),0.009892957191711692,0.009321179005859924,0.007390607096337963,0.016878759896997643,0.009851910544612555,0.011345822920927652,0.008868039023649714
Historical VaR (95%),-0.027119092154683933,-0.025861525050079253,-0.020678846286678102,-0.04413408794159413,-0.026919311679584418,-0.031136307030303366,-0.02368665352718028
Historical VaR (99%),-0.0491645460795118,-0.042963443252260244,-0.04491488491803597,-0.07637439685376189,-0.04879327224399398,-0.057558716721268305,-0.0436256457136265
Historical CVaR / ES (95%),-0.04170421374068381,-0.038261603782086276,-0.03706501257050323,-0.06654579782114324,-0.041265076376365714,-0.04829817310170076,-0.03635393770519954
Historical CVaR / ES (99%),-0.06755360780583612,-0.060603972823015675,-0.06818008667220754,-0.10303019096572703,-0.06413398033300664,-0.07856562385791774,-0.05602462638325335
Cumulative Return (%),1491.6813430777288,1481.128977533157,175.4154510006173,50062.62884529084,1035.206001087825,1068.5805141506753,1793.7423373981326
