,AAPL,MSFT,IBM,NVDA,GOOGL,AMZN,EW_Portfolio
Observations,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0
Daily Mean Return,0.0009175648388239394,0.0009153594919135613,0.0003359118079717384,0.0020616232016992583,0.0008055037483442658,0.0008151110309909579,0.000975179019957287
Daily Median Return,0.0009892506274164039,0.0008978026281820236,0.0007073621387065054,0.002423069838618299,0.0011882834103278828,0.0010376243633230735,0.0014929518067154
Skewness,-0.10307706030800987,-0.09492502949628792,-0.4774965761827541,0.1492007730758339,0.03311734500499999,0.007578015158844008,-0.3276919408869491
Excess Kurtosis,6.592024859876426,8.24151382298159,10.877469607421386,7.373778989148777,5.869877540228149,6.054234438960053,6.334260240367568
Minimum Daily Return,-0.13770820705763787,-0.15945348204745502,-0.13754759485533902,-0.20771108967686686,-0.12368462418603052,-0.15139791287665294,-0.1276265092220547
Maximum Daily Return,0.142617325001121,0.1329289467106299,0.12190049795452847,0.2608761044773045,0.15064530769189427,0.13217782645721562,0.11315126405155441
Q1 (25th percentile),-0.007046168813709553,-0.006717197546250167,-0.0064431862919555,-0.011842422113983469,-0.007722153001463251,-0.008836013493029211,-0.006011317557254156
Q3 (75th percentile),0.009892713357703094,0.00932124189520409,0.007390838528045434,0.016878676417833346,0.009851922077432679,0.011345822920927652,0.008868040351540402
Cumulative Return (%),1491.6806346126634,1481.1289775331534,175.41531611837712,50062.63783359088,1035.2060905329881,1068.5805141506753,1793.7421237616395
