,AAPL,MSFT,IBM,NVDA,GOOGL,AMZN,EW_Portfolio
Daily Std Deviation,0.017821942035867296,0.01656434870416978,0.01511156830243572,0.029524490706911693,0.01778962741359044,0.02067238134980147,0.015114458810196801
Annualised Mean Return,0.23122633938363274,0.23067059196221745,0.08464977560887807,0.5195290468282131,0.20298694458275499,0.2054079798097214,0.24574511302923632
Annualised Std Deviation,0.2829145590426782,0.2629508838059295,0.2398887098904685,0.4686867599779556,0.2824015803171449,0.3281638803543866,0.23993459527865965
Annualised Sharpe Ratio (Rf=0),0.817300955334546,0.8772383215584227,0.3528710277675367,1.1084781802939105,0.7187882743247929,0.6259311036543687,1.0242170902609036
Sortino Ratio (Rf=0),1.0892350633609196,1.1774628258234139,0.43704106593979486,1.5394283491723117,0.9805545612469032,0.8503242572226541,1.3134794770384208
Historical VaR (95%),-0.02711899982573436,-0.025861427694669977,-0.020678725964911923,-0.04413406936563278,-0.026919300166167524,-0.031136307030303366,-0.02368671308603382
Historical VaR (99%),-0.04916449292391016,-0.0429632324134992,-0.04491504621156332,-0.07637453181264377,-0.04879341453275756,-0.057558716721268305,-0.043625689720326696
Historical CVaR / ES (95%),-0.0417042243524074,-0.03826158731665791,-0.03706503892236383,-0.06654578145454047,-0.04126506363289635,-0.04829817310170076,-0.0363539336917168
Historical CVaR / ES (99%),-0.06755367124991338,-0.06060393052603369,-0.06818003985636517,-0.10303020206587842,-0.06413397051598582,-0.07856562385791774,-0.05602465617417085
Parametric VaR (95%),-0.0283969211581913,-0.02633056955222903,-0.024520406123214565,-0.046501842421459494,-0.028455829425015317,-0.03318793040995397,-0.023885893373403567
Parametric VaR (99%),-0.04054247212759504,-0.037619077900902964,-0.03481885298582255,-0.06662261298646333,-0.04057935816524051,-0.04727603937348122,-0.0341863101004219
