Method,Tag,Confidence (%),Nominal Tail (%),N,Violations (k),Expected (≈),Observed Rate (%),Nominal Rate (%),Excess (pp)
Historical Simulation,HS,90.0,9.999999999999998,2893,307,289.3,10.6118,10.0,0.6118
Historical Simulation,HS,95.0,5.000000000000004,2893,180,144.7,6.2219,5.0,1.2219
Historical Simulation,HS,99.0,1.0000000000000009,2893,49,28.9,1.6937,1.0,0.6937
Parametric Normal,Normal,90.0,9.999999999999998,2893,286,289.3,9.8859,10.0,-0.1141
Parametric Normal,Normal,95.0,5.000000000000004,2893,180,144.7,6.2219,5.0,1.2219
Parametric Normal,Normal,99.0,1.0000000000000009,2893,87,28.9,3.0073,1.0,2.0073
Parametric Student-t,StudentT,90.0,9.999999999999998,2893,347,289.3,11.9945,10.0,1.9945
Parametric Student-t,StudentT,95.0,5.000000000000004,2893,197,144.7,6.8095,5.0,1.8095
Parametric Student-t,StudentT,99.0,1.0000000000000009,2893,63,28.9,2.1777,1.0,1.1777
"GARCH(1,1) Normal",GARCH,90.0,9.999999999999998,2893,315,289.3,10.8884,10.0,0.8884
"GARCH(1,1) Normal",GARCH,95.0,5.000000000000004,2893,203,144.7,7.0169,5.0,2.0169
"GARCH(1,1) Normal",GARCH,99.0,1.0000000000000009,2893,82,28.9,2.8344,1.0,1.8344
