Method,Tag,Confidence (%),Nominal Tail (%),N,Violations (k),LR_uc,p_uc,Reject_uc,LR_ind,p_ind,Reject_ind,LR_cc,p_cc,Reject_cc,LR_dur,p_dur,Reject_dur,DQ_stat,p_dq,Reject_dq
Historical Simulation,HS,90.0,9.999999999999998,2893,307,1.1821,0.2769,False,4.6152,0.0317,True,5.7973,0.0551,False,9.1878,0.0101,True,72.817,0.0,True
Historical Simulation,HS,95.0,5.000000000000004,2893,180,8.467,0.0036,True,5.2348,0.0221,True,13.7018,0.0011,True,26.1443,0.0,True,85.4463,0.0,True
Historical Simulation,HS,99.0,1.0000000000000009,2893,49,11.6412,0.0006,True,14.5555,0.0001,True,26.1967,0.0,True,29.1793,0.0,True,111.1607,0.0,True
Parametric Normal,Normal,90.0,9.999999999999998,2893,286,0.042,0.8377,False,2.4284,0.1192,False,2.4704,0.2908,False,8.2262,0.0164,True,61.8528,0.0,True
Parametric Normal,Normal,95.0,5.000000000000004,2893,180,8.467,0.0036,True,7.9933,0.0047,True,16.4603,0.0003,True,25.8394,0.0,True,84.3494,0.0,True
Parametric Normal,Normal,99.0,1.0000000000000009,2893,87,76.6245,0.0,True,10.4723,0.0012,True,87.0968,0.0,True,99.9529,0.0,True,322.1611,0.0,True
Parametric Student-t,StudentT,90.0,9.999999999999998,2893,347,12.0995,0.0005,True,3.7673,0.0523,False,15.8668,0.0004,True,13.7742,0.001,True,82.8286,0.0,True
Parametric Student-t,StudentT,95.0,5.000000000000004,2893,197,18.0049,0.0,True,6.6776,0.0098,True,24.6825,0.0,True,31.8964,0.0,True,115.8475,0.0,True
Parametric Student-t,StudentT,99.0,1.0000000000000009,2893,63,30.3271,0.0,True,6.114,0.0134,True,36.4411,0.0,True,42.413,0.0,True,114.028,0.0,True
"GARCH(1,1) Normal",GARCH,90.0,9.999999999999998,2893,315,2.4728,0.1158,False,0.0036,0.9523,False,2.4764,0.2899,False,2.986,0.2247,False,7.4276,0.1907,False
"GARCH(1,1) Normal",GARCH,95.0,5.000000000000004,2893,203,22.1366,0.0,True,0.0451,0.8318,False,22.1817,0.0,True,21.8021,0.0,True,29.085,0.0,True
"GARCH(1,1) Normal",GARCH,99.0,1.0000000000000009,2893,82,65.7113,0.0,True,2.4914,0.1145,False,68.2027,0.0,True,65.7214,0.0,True,132.6052,0.0,True
