persistence,confidence,alpha,power,mean_viol_h1,expected_viol
0.5,0.9,0.09999999999999998,0.3597,264.5473,289.29999999999995
0.5,0.95,0.050000000000000044,0.2927,129.0485,144.65000000000012
0.5,0.99,0.010000000000000009,0.1527,24.8309,28.930000000000025
0.6,0.9,0.09999999999999998,0.3771,263.9354,289.29999999999995
0.6,0.95,0.050000000000000044,0.2883,129.0517,144.65000000000012
0.6,0.99,0.010000000000000009,0.1306,25.3484,28.930000000000025
0.7,0.9,0.09999999999999998,0.4158,262.3604,289.29999999999995
0.7,0.95,0.050000000000000044,0.3158,128.6251,144.65000000000012
0.7,0.99,0.010000000000000009,0.1217,25.996,28.930000000000025
0.75,0.9,0.09999999999999998,0.4407,261.1553,289.29999999999995
0.75,0.95,0.050000000000000044,0.3262,128.4498,144.65000000000012
0.75,0.99,0.010000000000000009,0.1188,26.4686,28.930000000000025
0.8,0.9,0.09999999999999998,0.4926,259.2906,289.29999999999995
0.8,0.95,0.050000000000000044,0.3425,128.0786,144.65000000000012
0.8,0.99,0.010000000000000009,0.1099,27.1477,28.930000000000025
0.85,0.9,0.09999999999999998,0.552,256.3958,289.29999999999995
0.85,0.95,0.050000000000000044,0.3694,127.2876,144.65000000000012
0.85,0.99,0.010000000000000009,0.1122,28.3197,28.930000000000025
0.9,0.9,0.09999999999999998,0.6387,251.3335,289.29999999999995
0.9,0.95,0.050000000000000044,0.4172,126.3593,144.65000000000012
0.9,0.99,0.010000000000000009,0.1644,30.4517,28.930000000000025
0.93,0.9,0.09999999999999998,0.7349,244.1151,289.29999999999995
0.93,0.95,0.050000000000000044,0.4875,124.1515,144.65000000000012
0.93,0.99,0.010000000000000009,0.2446,32.3837,28.930000000000025
0.95,0.9,0.09999999999999998,0.8059,235.4649,289.29999999999995
0.95,0.95,0.050000000000000044,0.5679,121.4926,144.65000000000012
0.95,0.99,0.010000000000000009,0.3361,34.4605,28.930000000000025
0.97,0.9,0.09999999999999998,0.886,218.0024,289.29999999999995
0.97,0.95,0.050000000000000044,0.6699,115.5546,144.65000000000012
0.97,0.99,0.010000000000000009,0.4529,37.3079,28.930000000000025
0.99,0.9,0.09999999999999998,0.9639,160.9915,289.29999999999995
0.99,0.95,0.050000000000000044,0.8544,91.3204,144.65000000000012
0.99,0.99,0.010000000000000009,0.6168,37.4437,28.930000000000025
