pair,scenario_no,label,delta_F,delta_sigma,weight,Long Call (K=4.65),Short Put (K=4.65),portfolio_pnl,weighted_loss,Short Call (K=4.65),Long Put (K=4.65),Long Futures (HGK26)
P1,1,"S1: ΔF=0, vol↑",0.00,0.06,1.00,1303.88,-1303.64,0.24,-0.24,,,
P1,2,"S2: ΔF=0, vol↓",0.00,-0.06,1.00,-1304.82,1304.64,-0.18,0.18,,,
P1,3,"S3: ΔF=+⅓PSR, vol↑",0.09,0.06,1.00,2587.87,-276.47,2311.40,-2311.40,,,
P1,4,"S4: ΔF=+⅓PSR, vol↓",0.09,-0.06,1.00,5.71,2311.46,2317.18,-2317.18,,,
P1,5,"S5: ΔF=−⅓PSR, vol↑",-0.09,0.06,1.00,161.33,-2465.86,-2304.53,2304.53,,,
P1,6,"S6: ΔF=−⅓PSR, vol↓",-0.09,-0.06,1.00,-2365.09,66.73,-2298.36,2298.36,,,
P1,7,"S7: ΔF=+⅔PSR, vol↑",0.19,0.06,1.00,4007.64,620.93,4628.57,-4628.57,,,
P1,8,"S8: ΔF=+⅔PSR, vol↓",0.19,-0.06,1.00,1550.87,3100.53,4651.41,-4651.41,,,
P1,9,"S9: ΔF=−⅔PSR, vol↑",-0.19,0.06,1.00,-837.22,-3765.73,-4602.95,4602.95,,,
P1,10,"S10: ΔF=−⅔PSR, vol↓",-0.19,-0.06,1.00,-3177.29,-1401.56,-4578.85,4578.85,,,
P1,11,"S11: ΔF=+PSR, vol↑",0.28,0.06,1.00,5554.95,1396.07,6951.02,-6951.02,,,
P1,12,"S12: ΔF=+PSR, vol↓",0.28,-0.06,1.00,3301.32,3696.13,6997.45,-6997.45,,,
P1,13,"S13: ΔF=−PSR, vol↑",-0.28,0.06,1.00,-1692.73,-5202.79,-6895.52,6895.52,,,
P1,14,"S14: ΔF=−PSR, vol↓",-0.28,-0.06,1.00,-3761.97,-3084.84,-6846.80,6846.80,,,
P1,15,S15: ΔF=+2PSR (35%),0.56,0.00,0.35,10003.01,3978.33,13981.34,-4893.47,,,
P1,16,S16: ΔF=−2PSR (35%),-0.56,0.00,0.35,-4123.05,-9584.93,-13707.98,4797.79,,,
P2,1,"S1: ΔF=0, vol↑",0.00,0.06,1.00,,,-0.24,0.24,-1303.88,1303.64,
P2,2,"S2: ΔF=0, vol↓",0.00,-0.06,1.00,,,0.18,-0.18,1304.82,-1304.64,
P2,3,"S3: ΔF=+⅓PSR, vol↑",0.09,0.06,1.00,,,-2311.40,2311.40,-2587.87,276.47,
P2,4,"S4: ΔF=+⅓PSR, vol↓",0.09,-0.06,1.00,,,-2317.18,2317.18,-5.71,-2311.46,
P2,5,"S5: ΔF=−⅓PSR, vol↑",-0.09,0.06,1.00,,,2304.53,-2304.53,-161.33,2465.86,
